playerID,career_war
dimagdo01,33.6
zimmehe01,33.6
adcocjo01,33.5
ellisma01,33.5
grayso01,33.5
burgesm01,33.4
caminke01,33.4
fletcel01,33.4
leibrch01,33.4
elberki01,33.3
haddiha01,33.3
loganjo01,33.3
murphdw01,33.3
wilsoju99,33.3
darviyu01,33.2
woodlge01,33.2
keltnke01,33.1
mondari01,33.1
hebneri01,33.0
schalra01,33.0
torgeea01,33.0
cravaga01,32.9
devliji03,32.9
jordabr01,32.9
mungova01,32.9
doranbi02,32.8
haineje01,32.8
coopemo01,32.7
fernasi01,32.7
huntro01,32.7
rivermi01,32.7
stephri01,32.7
westsa01,32.7
youngro01,32.7
cartyri01,32.6
hentgpa01,32.6
hoydu01,32.5
jonesad01,32.5
valenjo02,32.5
williji99,32.5
lawve01,32.4
marquru01,32.4
startjo01,32.4
suttoez01,32.4
youklke01,32.4
cullero01,32.3
erstada01,32.3
rosenal01,32.3
storytr01,32.3
strasst01,32.3
dennyjo01,32.2
irvinmo01,32.1
lopated01,32.1
murcebo01,32.1
siebeso01,32.1
uptonju01,32.1
antonjo02,31.9
dierkla01,31.9
fletcsc01,31.9
zitoba01,31.9
marioma01,31.8
mccorfr01,31.8
pippwa01,31.8
ferguch02,31.7
joosted01,31.7
yorkru01,31.7
branded01,31.6
hendrcl01,31.6
mccanbr01,31.6
stahlch01,31.6
benesan01,31.5
kluszte01,31.5
quintjo01,31.5
leebi03,31.4
victosh01,31.4
boddimi01,31.3
hartsto01,31.3
russebi02,31.3
hafeych01,31.2
terryad01,31.2
farredu01,31.1
sherdbi01,31.1
webbbr01,31.1
ellsbja01,31.0
joycebi01,31.0
raffeke01,31.0
hudsoor01,30.9
pencehu01,30.9
vaughgr01,30.9
bagbyji02,30.8
martijd02,30.8
barrji01,30.7
chambel01,30.7
ferreri01,30.7
marbefi01,30.7
shielja02,30.7
thompha02,30.7
hudliwi01,30.6
kuheljo01,30.6
speiech01,30.6
beaumgi01,30.5
byrdbi01,30.5
hillejo01,30.5
lathaar01,30.5
lemahdj01,30.5
maglisa01,30.5
swindgr01,30.5
travice01,30.5
matthga02,30.4
steinha01,30.4
wiltsho01,30.4
garcimi03,30.3
hargrmi01,30.3
higuete01,30.3
laryfr01,30.3
nuxhajo01,30.3
peraljh01,30.3
bonilbo01,30.2
johnsla03,30.2
laniema01,30.2
williwo03,30.2
lollash01,30.1
mcreyke01,30.1
leonabu99,30.0
lynnla01,30.0
titusjo01,30.0
beltbr01,29.9
chancde01,29.9
ewingbo01,29.9
